0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
79.0,58.0,93.0,73.0,39.0,27.0,4.0,22.0,21.0,61.0,21.0,84.0,8.0,25.0,23.0,0.0,26.0,61.0,17.0,10.0,42.0,20.0,36.0,21.0,12.0,15.0,8.0,9.0,7.0,38.0,1.0,12.0,7.0,16.0,18.0,25.0,29.0,6.0,14.0,6.0,13.0,29.0,6.0,27.0,8.0,1.0,37.0,8.0,33.0,12.0
66.0,45.0,37.0,40.0,46.0,29.0,14.0,38.0,58.0,43.0,28.0,23.0,11.0,22.0,59.0,26.0,8.0,32.0,34.0,11.0,13.0,22.0,17.0,16.0,24.0,12.0,20.0,8.0,11.0,16.0,11.0,13.0,17.0,23.0,43.0,20.0,18.0,9.0,3.0,17.0,14.0,15.0,6.0,15.0,9.0,14.0,16.0,14.0,5.0,7.0
70.0,29.0,100.0,47.0,102.0,26.0,7.0,54.0,72.0,84.0,38.0,21.0,39.0,49.0,45.0,61.0,32.0,110.0,15.0,8.0,32.0,44.0,16.0,59.0,15.0,7.0,16.0,36.0,8.0,73.0,1.0,5.0,28.0,10.0,22.0,20.0,15.0,11.0,34.0,8.0,2.0,8.0,8.0,32.0,10.0,6.0,142.0,4.0,23.0,14.0
47.0,52.0,11.0,23.0,47.0,57.0,19.0,28.0,33.0,38.0,30.0,18.0,12.0,24.0,27.0,17.0,34.0,15.0,6.0,21.0,12.0,18.0,6.0,27.0,16.0,4.0,19.0,12.0,28.0,15.0,4.0,35.0,19.0,22.0,34.0,10.0,13.0,43.0,17.0,20.0,18.0,18.0,4.0,4.0,17.0,10.0,4.0,19.0,4.0,5.0
25.0,17.0,25.0,21.0,43.0,17.0,18.0,28.0,49.0,22.0,48.0,16.0,56.0,33.0,15.0,10.0,11.0,8.0,21.0,2.0,4.0,29.0,12.0,12.0,18.0,10.0,21.0,16.0,9.0,17.0,33.0,21.0,18.0,7.0,8.0,10.0,6.0,13.0,9.0,3.0,19.0,5.0,10.0,14.0,17.0,16.0,3.0,1.0,6.0,7.0
73.0,42.0,110.0,90.0,19.0,19.0,5.0,22.0,15.0,70.0,20.0,44.0,6.0,26.0,20.0,42.0,13.0,32.0,12.0,4.0,0.0,15.0,61.0,11.0,8.0,6.0,9.0,5.0,18.0,39.0,4.0,10.0,10.0,7.0,6.0,11.0,16.0,6.0,4.0,5.0,12.0,18.0,7.0,27.0,4.0,0.0,24.0,8.0,53.0,11.0
18.0,17.0,18.0,26.0,23.0,15.0,8.0,12.0,31.0,22.0,42.0,12.0,46.0,49.0,43.0,20.0,22.0,44.0,18.0,29.0,15.0,2.0,17.0,17.0,11.0,7.0,23.0,11.0,10.0,34.0,58.0,16.0,25.0,4.0,18.0,12.0,16.0,0.0,14.0,8.0,7.0,1.0,13.0,11.0,8.0,27.0,14.0,5.0,7.0,3.0
58.0,55.0,133.0,100.0,14.0,28.0,15.0,11.0,29.0,51.0,48.0,28.0,18.0,21.0,7.0,36.0,17.0,16.0,6.0,12.0,61.0,17.0,8.0,14.0,16.0,2.0,10.0,9.0,12.0,27.0,15.0,2.0,14.0,9.0,1.0,11.0,7.0,4.0,13.0,8.0,12.0,20.0,14.0,15.0,6.0,3.0,8.0,6.0,47.0,15.0
46.0,45.0,27.0,39.0,79.0,49.0,54.0,58.0,52.0,32.0,40.0,15.0,51.0,27.0,23.0,21.0,16.0,59.0,27.0,12.0,11.0,17.0,14.0,2.0,25.0,19.0,9.0,41.0,24.0,32.0,12.0,7.0,21.0,17.0,4.0,12.0,11.0,18.0,32.0,24.0,16.0,15.0,7.0,35.0,22.0,14.0,18.0,10.0,10.0,3.0
29.0,24.0,52.0,35.0,40.0,28.0,30.0,35.0,22.0,25.0,42.0,9.0,34.0,14.0,9.0,12.0,24.0,15.0,16.0,18.0,8.0,11.0,16.0,25.0,16.0,10.0,18.0,13.0,7.0,15.0,7.0,6.0,12.0,13.0,2.0,11.0,4.0,11.0,19.0,7.0,8.0,3.0,9.0,29.0,12.0,6.0,8.0,7.0,7.0,6.0
43.0,34.0,21.0,17.0,43.0,22.0,6.0,75.0,20.0,10.0,17.0,24.0,15.0,25.0,25.0,15.0,12.0,7.0,4.0,10.0,6.0,7.0,2.0,19.0,10.0,6.0,13.0,32.0,7.0,3.0,12.0,12.0,18.0,3.0,15.0,15.0,1.0,4.0,6.0,8.0,6.0,2.0,5.0,8.0,7.0,1.0,1.0,10.0,1.0,18.0
35.0,17.0,26.0,21.0,29.0,15.0,15.0,19.0,31.0,17.0,32.0,11.0,25.0,31.0,35.0,8.0,20.0,16.0,19.0,21.0,9.0,23.0,10.0,9.0,18.0,13.0,8.0,21.0,17.0,16.0,25.0,31.0,8.0,6.0,30.0,6.0,3.0,1.0,19.0,5.0,5.0,0.0,12.0,8.0,6.0,35.0,8.0,6.0,5.0,13.0
