keyword,count
impact,154
china,129
model,107
health,103
prevalence,96
climate change,86
management,81
urbanization,79
air pollution,74
risk,73
system,68
mortality,63
child,61
heavy metal,60
performance,58
policy,56
area,54
pollution,53
quality,53
urban,51
association,49
community,48
ecosystem service,47
network,46
particulate matter,45
pm2.5,45
behavior,45
growth,45
pattern,45
smart city,43
risk factor,42
land use,42
sustainability,42
united states,42
exposure,41
dynamic,41
diversity,38
epidemiology,38
temperature,37
population,37
contamination,35
water,35
obesity,35
infection,34
governance,33
space,32
service,32
biodiversity,32
simulation,31
knowledge,31
